prfnm,entrpsnm,genrenm,telno,relateurl,mt30id
"단단단 페스티벌, 영산홍 콘서트, 단단단 페스티벌, 영산홍 콘서트, 단단단 페스티벌, 서낭당의 신부,마을의 전설이 되다",(사) 강릉단오제위원회,복합,,https://www.danojefestival.or.kr/,AG010835
제4회 춤이야기마당: 古한 굿 DANCE,(사) 경기민예총,복합,,http://www.kgminyechong.org/,AG021850
제4회 춤이야기마당: 古한 굿 DANCE,(사) 경기민예총 춤위원회,무용(서양/한국무용),,http://kgminyechong.org/menu_03_02,AG021851
"서울시무형문화재43호, 경제어산 수륙재 시연회",(사) 경제어산전승보존회,한국음악(국악),,,AG016955
"고려대학교 개교 120주년 기념공연, 코리올라누스",(사) 고대극회,연극,,,AG019549
고양시 자원봉사자의날 기념행사,(사) 고양시자원봉사센터,복합,,https://www.gy1365.or.kr/,AG018062
"공익활동을 위한 기금 마련 콘서트, 당신이 있어 참 좋다!",(사) 관악뿌리재단,대중음악,02-6338-7500,http://garoot.org/wp/,AG017306
제34회 구미시새마을여성합창단 정기연주회 [구미],(사) 구미시새마을회,복합,054-4527-5649,http://saemaul.gumi.go.kr/main.do,AG020240
"김천금릉빗내농악보존회, 진굿",(사) 국가무형유산 김천금릉빗내농악보존회,한국음악(국악),,,AG018631
춤길동행 무궁무진,(사) 국가무형유산 처용무보존회 서울지부여령지회,무용(서양/한국무용),,https://www.cheoyongmu.com/,AG016753
"사물놀이 몰개, Sound Project: 파랑 [충주], 사물놀이 몰개, Sound Project: 파랑 [충주], 사물놀이 몰개, Sound Project: 파랑 [충주]",(사) 국악단 소리개 충북지부 사물놀이 몰개,한국음악(국악),,,AG017837
"제주성주풀이: 새집지어오람구나 [서울], 제주성주풀이: 새집지어오람구나 [서울], 새집지어 오람구나 [태안]",(사) 국악연희단하나아트,한국음악(국악),,,AG019314
"Festival shiwol, 부산재즈페스타",(사) 국제청소년문화교류연맹,복합,,http://www.uniycef.org/,AG019422
그라티아 오케스트라 정기연주회,(사) 그라티아오케스트라,서양음악(클래식),,,AG017643
"더 호러쇼: 기묘한 마을의 비밀, 더 호러쇼: 기묘한 마을의 비밀",(사) 글로벌문화예술협회,복합,,https://www.instagram.com/gcaa_korea/,AG016559
"사형수 김대중 [안양], 사형수 김대중 [수원], 사형수 김대중 [광주]",(사) 김대중평화센터,연극,02-324-7972,www.kdjpeace.com,AG017519
"국악 콘서트: 소리판 [제주], 국악 콘서트: 소리판 [제주]",(사) 너나들이,한국음악(국악),,,AG018483
"서영님의 춤 인생 70, 여제의 길: 그리움과 사랑으로, 서영님의 춤, 그 향기",(사) 님 무용예술원,무용(서양/한국무용),02-553-5744,,AG011394
제3회 솔빛소리합창단 정기연주회,(사) 대건카리타스,복합,031-850-1481,http://www.caritasdaegun.or.kr/,AG017896
"제3회 대구 창작 뮤지컬 페스타: 뮤지컬 콘서트, 폐막식, 제3회 대구 창작 뮤지컬 페스타: 뮤지컬 콘서트, 폐막식, 제3회 대구 창작 뮤지컬 페스타, 비형랑",(사) 대구뮤지컬협회,뮤지컬,070-8226-5736,,AG014599
"모두페스티벌, 다섯째 날, 모두페스티벌, 넷째 날, 모두페스티벌, 아우성치는 봄 날 [대구]",(사) 대구사람장애인자립생활센터,연극,053-295-4240,https://saramcil.modoo.at/,AG016436
"경산늬우스, 경산늬우스",(사) 대한무용협회 경산시지부,무용(서양/한국무용),,https://www.koreadanceassociation.org/branch?r=%EA%B2%BD%EC%83%81%EB%B6%81%EB%8F%84,AG020753
"제28회 고양춤페스티벌, 명작명무와 함께하다 [고양], 제27회 고양춤 페스티벌",(사) 대한무용협회 고양시지부,무용(서양/한국무용),,,AG014709
"제35회 부산무용제, 제35회 부산무용제",(사) 대한무용협회 부산광역시지회,무용(서양/한국무용),051-632-5116,https://busandance1963.com/,AG021686
숨 [제주 서귀포],(사) 대한무용협회 서귀포시지부,무용(서양/한국무용),,,AG019518
제59회 가수의 날 기념: 안양시민과 함께하는 송년 감사 음악회 [안양],(사) 대한민국가수희망시대,대중음악,,,AG020673
라오니엘 콘서트: 크로스오버,(사) 대한민국문화예술협회,복합,,,AG019558
글로벌 인플루언서 엑스포 [고양],(사) 대한인플루언서협회,복합,,,AG017848
"힙합 페스티벌, 시간을 넘어선 발걸음: The Journey of Hip-Hop Dance [수원]",(사) 대한힙합연맹,대중음악,,,AG020319
"제35회 동리대상 [고창], 고창 흥부설전 [고창], 금파 [고창]",(사) 동리문화사업회,한국음악(국악),,,AG014604
"최영란의 소리, 동초제 수궁가 완창공연, 최영란의 소리, 동초제 흥보가 완창공연",(사) 동초제판소리보존회,한국음악(국악),,,AG016778
"공양무, 공양무, 동희스님, 천상의 소리와 작법",(사) 동희범음회,한국음악(국악),02-923-8180,,AG017353
Emotion.exe: 별과 함께 걷다,(사) 드림스테이지,연극,,https://dreamstage.or.kr/,AG020498
"무문무, 환영무",(사) 들숨,서양음악(클래식),,,AG013690
"햇빛투게더 EP.04, 모두의 운동회: 모두의 햇빛이 되는 하루",(사) 따뜻한 하루,서양음악(클래식),,,AG021531
"ESG 장애인식개선 무용극, 아버지의 봄 2, ESG 장애인식개선 무용극, 아버지의 봄 2, ESG 장애인식개선 무용극, 아버지의 봄",(사) 룩스빛 아트컴퍼니(LUX 빛 아트컴퍼니),무용(서양/한국무용),02-533-4863,http://luxbitart.co.kr/,AG017338
"서울히어로락페스티벌 X 트리헌드레드, 서울히어로락페스티벌 X 트리헌드레드, 서울히어로락페스티벌 X 트리헌드레드",(사) 리본디어스(Reborn The Earth),복합,02-6958-7990,https://reborntheearth.org/,AG021135
"Re: Bouy, 떠오르는 빛 [제주 서귀포], Re: Bouy, 떠오르는 빛 [제주], 탐라순력도: 다채로운 꿈 [제주 서귀포]",(사) 마로,한국음악(국악),064-722-0129,https://marojeju.kr/,AG001939
"맨하탄음대 동문회 콩쿨 대상콘서트: 바이올리니스트 우수현, 제1회 맨하탄음악대학 반주전공 동문 음악회, (사) 맨하탄음대 예술인총회 성악과 음악회: Winter Night Concert",(사) 맨하탄음대 예술인총회,서양음악(클래식),,,AG020634
"제26회 (사) 김병호류가야금산조보존회 정기연주회, 선영숙 가야금 독주회: 운산무산",(사) 무형문화재 제47조 김병호류가야금 산조보존회,한국음악(국악),061-371-0788,,AG019702
"요술항아리 [춘천], 요술항아리 [춘천], 라임의 왕 김삿갓 [춘천]",(사) 문화강대국,복합,033-253-5058,https://blog.naver.com/mungangguk-2002,AG003795
은경,(사) 문화예술교육협회,뮤지컬,,,AG019136
발탈! 어쩐가 볼라요!,"(사) 발탈, 전통극보존회",한국음악(국악),,,AG017672
"김선이: 동초제 흥보가, 김선이 소리인생 55년: 동초제 흥보가 [부산]",(사) 백제남도소리고법진흥회,한국음악(국악),062-511-1423,,AG016325
"김현철 X 윤상 X 이현우 트리플콘서트 [서울 중구], 현진영의 JAZZ UNIVERSE",(사) 별똥별스타도네이션,대중음악,02-2232-7399,http://star.thanksgiving.co.kr/,AG019534
"비단길전통춤축제: 의례의 기억! 춤으로 풀다 [구미], 비단길전통춤축제: 의례의 기억! 춤으로 풀다 [구미], 비단길 전통춤축제 [구미]",(사) 보훈무용예술협회 경상북도지회,무용(서양/한국무용),,http://www.bohundance.org/index.php?mid=page_jQdF63&document_srl=269,AG012735
"제2회 인천 보훈무용제, 제2회 인천 보훈무용제",(사) 보훈무용예술협회 인천광역시지회,무용(서양/한국무용),,https://invada.modoo.at/,AG019102
"제3회 숨과 쉼 가을음악회, 제3회 숨과 쉼 가을음악회",(사) 부산국제예술단,서양음악(클래식),051-868-7517,http://www.xn--3e0bz7ho8jjjdv5bo1jn2d.kr/,AG019988
"한국해양진흥공사와 함께하는 해양음악제: 바다의 오케스트라 [부산], 한국해양진흥공사와 함께하는 해양음악제: 바다의 재즈 [부산], 부산 메세나 신년음악회",(사) 부산메세나협회,서양음악(클래식),,https://www.bmecenat.kr/,AG020739
지구환경 프로젝트 [부산],(사) 부산민예총,무용(서양/한국무용),,http://openart.or.kr/,AG017609
"제15회 부산사람이태석 기념음악회, 제15회 부산사람이태석 기념음악회, 제14회 부산사람이태석 기념음악회",(사) 부산사람이태석기념사업회,서양음악(클래식),051-637-0125,http://www.johnlee.or.kr/,AG019304
"팬텀 스타워즈: 부산청년 봄을 깨우다, 팬텀 스타워즈: 부산청년 봄을 깨우다, 제8회 작강연극제: 모두가 익어가는 계절, 홀로 익지 못한 한 존재의 시절 [부산]",(사) 부산예술문화단체총연합회 (부산예총),복합,051-631-1377,http://artpusan.or.kr/,AG017363
"팬텀 스타워즈: 부산청년 봄을 깨우다, 팬텀 스타워즈: 부산청년 봄을 깨우다 [부산]",(사) 부산예술후원회,서양음악(클래식),,https://basa.or.kr/,AG018452
"콘서트 오페라 리골레토: 휴머니스트 위트컵 장군 헌정 프로젝트 [부산], 테너 김우경 소프라노 황신녕 초청콘서트 [부산], 테너 김우경 소프라노 황신녕 초청콘서트 [부산]",(사) 부산창작오페라단,서양음악(클래식),,https://bcop.co.kr/,AG020263
"Road to BU-ROCK 로드 투 부락 [제주], Road to BU-ROCK 로드 투 부락 [제주], Road to BU-ROCK 로드 투 부락 [광주]",(사) 부산축제조직위원회,복합,,https://www.bfo.or.kr/,AG018902
"제67회 부산독일가곡연구회 정기연주회: 한일국교정상화 60주년 기념 한일음악회, 제67회 부산독일가곡연구회 정기연주회: 한일국교정상화 60주년 기념 한일음악회",(사) 부산한일문화교류협회,서양음악(클래식),,http://www.kojac.or.kr/,AG020605
여행을 떠나: 나랑 같이 여행 갈래요?,(사) 사랑의 달팽이,뮤지컬,,https://www.soree119.com/,AG016599
북녘의 춤 그리고 음악,(사) 삼현육각보존회,한국음악(국악),,,AG018480
"라이프로드싱어즈 찬양콘서트: 찬양의 제사, 라이프로드싱어즈 찬양콘서트: 이길 위에",(사) 생명길선교회,서양음악(클래식),02-2690-9177,https://liferoadmission.modoo.at/?link=33btuu47,AG017610
"놀량사거리보존회 정기공연, 소리극 놀량패의 평안도다리굿",(사) 서도소리진흥회,한국음악(국악),,,AG020317
"제3회 한국 영화음악 콘서트, 제2회 영화음악 콘서트",(사) 서울그랜드필하모닉예술단,서양음악(클래식),,,AG010890
서울남성합창단 정기연주회,(사) 서울남성합창단,서양음악(클래식),,http://www.seoulmalechoir.com/,AG019964
소프라노 이재윤 독창회,(사) 서울문화예술교육협회,서양음악(클래식),,https://scaea.or.kr/,AG021165
"제6회 민중가요 페스티벌: 깃발, 바람되어 날다, 제6회 민중가요 페스티벌: 깃발, 바람되어 날다, 콰르텟엑스의 행복콘서트: Beyond the People 콘서트",(사) 서울민예총,복합,02-3447-3477,https://www.facebook.com/SEOULMINART/,AG019242
"제12회 추석맞이 효사랑 한마당, 제12회 추석맞이 효사랑 한마당, 제11회 추석맞이효사랑한마당, 진성 효콘서트 [서울 강동]",(사) 서울시지체장애인협회 강동구지회,대중음악,,,AG017001
"창단48주년기념, (사)서울싱잉커플즈 정기연주회",(사) 서울싱잉커플즈,서양음악(클래식),,https://www.bubuchoir.net/,AG014659
"제6회 서울연극25페스티벌: 동양극장 1936, 그날 밤",(사) 서울연극협회 서대문지부,연극,,,AG020142
"서울코랄 창단 57주년 기념음악회, 서울코랄 창단 56주년 기념음악회",(사) 서울코랄,서양음악(클래식),,,AG017383
THE PRESENT WITH PRESENT 선물과 함께하는 현재,(사) 석정 문화재단,서양음악(클래식),,,AG018132
"성창순 판소리 보존회 정기연주회, 故 성창순 7주기 추모공연: 옥빛같은 소리, 쪽빛같은 노래",(사) 성창순판소리보존회,한국음악(국악),,,AG015539
"OK LIVE CONCERT (OK 라이브 콘서트) : 아름다운 동행, OK LIVE CONCERT (OK 라이브 콘서트) : 아름다운 동행, OK LIVE CONCERT (OK 라이브 콘서트) : 아름다운 동행","(사) 세계한인경제무역협회(월드옥타, World-OKTA)",복합,,https://www.okta.net/okta/,AG021209
"테너 이승묵 독창회, 테너 이승묵 독창회",(사) 세계화교육문화재단,서양음악(클래식),02-312-3550,https://globaleducation.or.kr/,AG018181
"제9회 힉엣눙크! 뮤직 페스티벌, 줄리아드 교수 이소연 피아노 리사이틀, 제9회 힉엣눙크! 뮤직 페스티벌, 줄리아드 교수 이소연 피아노 리사이틀, 제9회 힉엣눙크! 뮤직 페스티벌, 줄리아드 교수 이소연 피아노 리사이틀",(사) 세종솔로이스츠,서양음악(클래식),02-584-5494,http://www.sejongsoloists.or.kr,AG001178
"세종 메세나 콘서트, 세종메세나 콘서트",(사) 세종시메세나협회,복합,,,AG014675
"제42회 세진음악회: 회복과 화해의 하모니, 제41회 세진음악회: 하모니, 함께하는 새로운 시작",(사) 세진회,서양음악(클래식),,https://www.facebook.com/profile.php?id=100091930034188,AG017888
"동화나라의 크리스마스 대소동 [전주], 달콤한 위로 초코파이 [전주], 달콤한 위로 초코파이 [전주]",(사) 소리문화창작소 신,복합,063-227-2465,https://www.instagram.com/sori_sinn/,AG006730
서울솔리스트 첼로앙상블 창단 20주년 축하음악회,(사) 소체,서양음악(클래식),,,AG021755
"솔크의 열네 번째 이야기: Light for Chad (차드에 비추는 빛), 솔크의 열네 번째 이야기: Light for Chad (차드에 비추는 빛)",(사) 솔크(SOLC),서양음악(클래식),,https://www.youtube.com/@WithSolc,AG020184
"제48회 심훈상록문화제 폐막식 [당진], 제47회 심훈상록문화제, 폐막식, 제47회 심훈상록문화제, 폐막식",(사) 심훈상록문화제 집행위원회,복합,,,AG017002
"박성현 파이프 오르간 콘서트, 박성현 오르간 부산 콘서트 [부산]",(사) 씨네마틱 그루브네트워크,서양음악(클래식),,,AG020429
정세문의 그리운 언덕 愛 부는 美친 콘서트,(사) 아름드리 다문화원,서양음악(클래식),,http://www.archorus.or.kr/,AG020090
"국가무형유산 종묘제례악 보태평·정대업 일무전장 열번째 연작: 64인이 펼치는 팔풍의 몸짓, 일무, 국가무형유산 종묘제례악 보태평·정대업 일무전장 열번째 연작: 64인이 펼치는 팔풍의 몸짓, 일무, 아악일무보존회: 팔풍의 몸짓, 일무 시리즈 9",(사) 아악일무보존회,한국음악(국악),02-581-0433,,AG018046
"제12회 IPB 정기연주회 [부산], 양욱진 첼로 리싸이틀 [부산], 양욱진 첼로 리싸이틀 [부산]","(사) 아이피비(IPB, International Players of Busan)",서양음악(클래식),010-4845-0078,https://www.ipbchamber.com/,AG007434
안산 민중가요 콘서트 [안산],(사) 안산민예총,복합,,https://www.facebook.com/ansanart,AG020712
제10회 애양청소년 오케스트라 정기연주회,(사) 애양청소년오케스트라,서양음악(클래식),,,AG020717
"김정원 x 오케스트라 디 오리지널: 황제 [화성], SNU 브라스 소사이어티 (서울대학교 브라스 소사이어티) : 10+1 [화성], SNU 브라스 소사이어티 (서울대학교 브라스 소사이어티) : 10+1 [화성]",(사) 엔드리스(endless),서양음악(클래식),,https://endless.ne.kr/,AG020492
"제18회 영남필하모니오케스트라 정기연주회 [대구], 제18회 영남필하모니오케스트라 정기연주회 [대구], 영남필하모니오케스트라 창작관현악 축제: 한국적 창작음악의 새로운 발견 Ⅲ, Concert Ⅱ [대구]",(사) 영남필하모니오케스트라,서양음악(클래식),053-217-5592,http://ynphil.com/,AG006891
"오즈의 마법사: 도로시의 모험 [부안], 오즈의 마법사: 도로시의 모험 [양산]",(사) 예진예술원,무용(서양/한국무용),063-253-5358,,AG007991
제5회 ONETHING ORCHESTRA 정기연주회,(사) 와이엠에스,복합,,,AG017706
트리니트 인 콘서트 [용인],(사) 용인문화시민광장,복합,032-335-7942,,AG020339
"제11회 소리청열리고 정기공연: 뼁파, 제11회 소리청열리고 정기공연: 뼁파",(사) 우리예술보존회,복합,,,AG020489
"세계 재즈의 날 부산 기념공연: The Magic of Big Band Sound [부산], 세계 재즈의 날 부산 기념공연: The Magic of Big Band Sound [부산], 세계 재즈의 날 부산 기념공연: The Magic of Big Band Sound [부산]",(사) 음악예술인협회,대중음악,,,AG013425
U 어린이 뮤직 페스타 [의정부],(사) 의정부음악협회,서양음악(클래식),,,AG020329
"문학과 함께, 이육사와 함께: 이육사 시노래 축전 [안동]",(사) 이육사추모사업회(이육사문학관),복합,054-852-7337,http://www.264.or.kr/,AG019717
"(사) 이태석재단 UN 특별협의지위 NGO 출범 축하음악회: 사랑으로 세운 길, 세계평화를 향해 나아가다, 이태석 사랑나눔 음악회",(사) 이태석재단,서양음악(클래식),02-595-9094,https://www.leetaeseokfoundation.org/,AG017489
비커밍맘 [영천],(사) 인구보건복지협회 대구.경북지회,뮤지컬,,https://clinic.ppfk.or.kr/clinic/daegu,AG019299
"지운하 명인의 예인인생 70주년: 동행 [인천], 지운하 명인의 예인인생 70주년: 동행 [인천], 지운하 명인의 예인인생 70주년: 동행 [인천]",(사) 인천 남사당놀이 보존회,한국음악(국악),070-8134-4275,https://www.facebook.com/profile.php?id=61550612873793,AG012357
"제43회 대한민국 연극제 인천, 폐막식, 제43회 대한민국연극제 인천, 전쟁과 평화: 일렉트라 스토리 [인천], 제43회 대한민국연극제 인천, 어둠상자",(사) 인천연극협회,연극,,,AG019167
"Bass 이연성 독창회, 라흐마니노프와 샬라핀, 아발얀과 이연성, 세계적 아코디어니스트 니키타 블라소프와 퀸텟 초청 공연",(사) 인천오페라단(인천시티오페라단),서양음악(클래식),032-429-0248,,AG002664
"제12회 자문밖 문화축제 오프닝, 평창대관령음악제 예술감독 양성원과 함께하는 예술과 삶의 이음, 제12회 자문밖 문화축제 오프닝, 평창대관령음악제 예술감독 양성원과 함께하는 예술과 삶의 이음",(사) 자문밖문화포럼,복합,010-2042-0385,,AG017033
"춤추는허리 돌봄추리극 중간과정 발표회: 주렁주렁 치렁치렁, 춤추는허리 돌봄추리극 중간과정 발표회: 주렁주렁 치렁치렁, 몸 이동, 준비운동: 얼음 땡",(사) 장애여성공감,복합,02-441-2384,https://wde.or.kr/,AG017605
"모두페스티벌, 아우성치는 봄 날 [대구], 모두페스티벌, 똑, 똑, 똑 [대구]",(사) 장애인지역공동체,연극,053-215-9460,http://www.jangjigong.org/,AG016437
"트로트와 클래식 오케스트라의 특별한 감동!! 열린 음악회 with 미스트롯2 양지은 & 황승아 [부안], 소리꾼 유태평양과 함께하는 국악 in 클래식 [부안], 클나무오케스트라 & 팝핀현준 & 박애리 열린음악회 [부안]",(사) 전북예술문화원,서양음악(클래식),063-283-2511,https://blog.naver.com/jbacc85,AG001181
명지병원 초청 음악회: 제1회 전북도민회 예향의 밤,(사) 전북특별자치도민회중앙회,복합,,,AG020303
마당놀이 방황하는 황금바위 [전주],(사) 전주기접놀이보존회,연극,,,AG014472
전태일 컴필레이션 콘서트: 나비가 된 불꽃 [대구],(사) 전태일의 친구들,복합,,,AG017342
"무등산호랑이 연대기, 발光불개 (발광불개) : 사방을 지키는 신, 무등산호랑이 연대기, 발光불개 (발광불개) : 사방을 지키는 신, 개똥이와 무등산호랑이 [광주]",(사) 전통연희놀이연구소,한국음악(국악),070-7573-9313,https://talchum.net/,AG007451
"제주 비밀을 찾아 떠나는 모험, 제주해녀 평화음악회",(사) 제주문화기획연구소,복합,,,AG012617
"제4회 (사) 지영희 해금산조 보존회 정기연주회: 지영희 시나위 그리고 산조, 제4회 (사) 지영희 해금산조 보존회 정기연주회: 지영희 시나위 그리고 산조, 제3회 지영희 해금산조 보존회 정기연주회",(사) 지영희 해금산조 보존회,한국음악(국악),,,AG013051
음악선생님 [울산],(사) 처용오페라단,서양음악(클래식),,,AG019853
"우리읍내 [장성], 우리읍내 [장성], 홍길동 활빈 헌터스 [장성]",(사) 청강창극단,연극,010-6611-6231,http://www.xn--939ax9ajyhd25a7pa.com/,AG014618
제54회 성애순 가야금 독주회,(사) 최옥삼류가야금산조보존회 서울지회,한국음악(국악),,,AG021431
"제28회 춘천국제고음악제, 폐막 오페라: 오르페오와 에우리디체, 제28회 춘천국제고음악제, 폐막 오페라: 오르페오와 에우리디체",(사) 춘천국제고음악제,서양음악(클래식),,http://www.ciemfestival.co.kr/,AG020158
"제4회 춘천 오페라 페스티벌, 맥, 제4회 춘천 오페라 페스티벌, 맥, 제3회 춘천오페라페스티벌, 리골렛또",(사) 춘천오페라페스티벌조직위원회,서양음악(클래식),,https://chuncheonoperafestival.com/,AG014011
"인어공주 [화성], 인어공주 [화성], 인어공주 [화성]",(사) 케이글로벌발레원(K-Global Ballet Institute),무용(서양/한국무용),02-523-2290,http://kgbi.or.kr/,AG016875
김현철 X 윤상 X 이현우 트리플콘서트 [서울 중구],(사) 케이컬쳐진흥원 (구. (사) 한중문화관광미디어총연합회),대중음악,,,AG021421
"경이로운 금요일: Rebel Week, 스내피돌 X 언더플로우 X 채소현, 경이로운 금요일: Rebel Week, 스내피돌 X 언더플로우 X 채소현, 경이로운 금요일: Rebel Week, 스내피돌 X 언더플로우 X 채소현",(사) 코드(우무지),대중음악,,https://www.wumuji.com/,AG019872
"KISF OST CONCERT: 윤일상 & WE필하모닉 스트리밍 콘서트 [부산], KISF OST CONCERT: 윤일상 & WE필하모닉 스트리밍 콘서트 [부산], KISF OST CONCERT: 윤일상 & WE필하모닉 스트리밍 콘서트 [부산]",(사) 코리아국제스트리밍페스티벌,연예,,https://kisf.kr/kor/default.asp,AG019598
"제11회 강동필하모닉오케스트라 정기연주회, 제11회 강동필하모닉오케스트라 정기연주회, 제11회 강동필하모닉오케스트라 정기연주회",(사) 코리아로얄오케스트라,서양음악(클래식),,,AG017508
"스바보드나 [광주], 스바보드나 [광주]",(사) 코코넛,서양음악(클래식),,https://www.coconutngo.org/,AG019171
"샌드아트 & 오케스트라 호두까기인형 [전주], 샌드아트 & 오케스트라 호두까기인형 [전주], 샌드아트 & 오케스트라 호두까기인형 [전주]",(사) 클나무(클나무필하모닉오케스트라),서양음악(클래식),,,AG020195
"제4회 브랜든 색소폰 오케스트라 정기연주회: Grand Opera Gala Concert, 브랜든 색소폰 오케스트라 x 길병민, 제4회 브랜든 색소폰 오케스트라 정기연주회: Grand Opera Gala Concert, 브랜든 색소폰 오케스트라 x 길병민, 제4회 브랜든 색소폰 오케스트라 정기연주회: Grand Opera Gala Concert, 브랜든 색소폰 오케스트라 x 길병민",(사) 클래식 색소폰 협회,서양음악(클래식),070-4237-1004,https://kcsa.at/,AG017537
"고군산군도 선유도령 장자아씨 [군산], 고군산군도 선유도령 & 장자아씨 [군산] (12.05), 고군산군도 선유도령 & 장자아씨 [군산]",(사) 태 아트 컴퍼니,뮤지컬,063-442-8527,https://www.tae-art.com/,AG016364
"TIMF앙상블 SPICE Ⅱ, 바리에테: 관객 저마다의 기시감 [서울], TIMF앙상블 SPICE Ⅱ, 바리에테: 관객 저마다의 기시감 [서울], TIMF앙상블 SPICE I, 한국작곡가의 밤",(사) 팀프앙상블(TIMF 앙상블),서양음악(클래식),02-3474-8317,http://www.ensembletimf.com,AG002354
북녘의 춤 그리고 음악,(사) 평양검무보존회,무용(서양/한국무용),02-2605-6383,http://www.pygeommu.com/,AG018479
"평택페스티발오케스트라, 차이코프스키: The Prize Winner [평택], 평택페스티발오케스트라, 차이코프스키: The Prize Winner [평택], 평택페스티발오케스트라, 차이코프스키: The Prize Winner [평택]",(사) 평택페스티발오케스트라,서양음악(클래식),,,AG021740
"온 가족이 행복한 콘서트 오페라 시리즈3. 프란츠 레하르: THE MERRY WIDOW [부산], 온 가족이 행복한 콘서트오페라 시리즈Ⅲ, 요한스프라우스 Ⅱ: 박쥐 [부산], 온 가족이 행복한 콘서트오페라 시리즈Ⅲ, 요한스프라우스 Ⅱ: 박쥐 [부산]",(사) 하다(HADA),서양음악(클래식),,http://hada22.co.kr/,AG016462
"하슬라 in 서울, 추일서정 (秋日抒情) : 김광균, 하슬라 in 서울, 추일서정 (秋日抒情) : 김광균, 하슬라 in 서울, 추일서정 (秋日抒情) : 김광균",(사) 하슬라국제예술제,복합,02-6954-7760,https://hasla.or.kr/,AG017130
"임예주의 전통춤판 8, 노루목 춤꽃: 춘앵전, 정가지무, 장구춤 [안산], (사) 한국고전무용중앙협회 안산지부창단 기념공연, 임예주 전통춤판 Ⅶ, (사) 한국고전무용중앙협회 안산지부창단 기념공연, 임예주 전통춤판 Ⅶ",(사) 한국고전무용중앙협회 안산지부,무용(서양/한국무용),,https://www.youtube.com/channel/UChYald2hhbdohgrqQQbO-8w,AG017725
"진정한 융복합 콘서트, 꿈을 그리는 노래: 슈만과 말러의 예술과 삶, 제12회 Real Stimme 독일예술가곡연구회 정기연주회: 인생 - 희노애락 (喜怒哀樂)",(사) 한국공간디자인학회,복합,02-6406-8307,https://www.kisd.or.kr/,AG020621
"위클리 클래식 페스티벌, 듀오 슈벙: Love, Friends, Time [제주 서귀포], 위클리 클래식 페스티벌, 이야기가 있는 클래식 콘서트: 바람의 이야기, 위클리 클래식 페스티벌, 베리오스 트리오: Various Feel [서울 마포]",(사) 한국공연예술가협회,서양음악(클래식),02-6053-0407,https://www.artistsofkorea.com/,AG009238
"MCT FESTIVAL BIG CONCERT with KOMCA, MCT FESTIVAL BIG CONCERT with KOMCA",(사) 한국과학기술정책연구회(STPS),복합,,https://kstps.or.kr/,AG021876
"가고파 음악제: 클래식의 향연, 고향을 그리며",(사) 한국관광진흥원,서양음악(클래식),,,AG020548
"제32회 국악대공연 [고양], 제31회 국악대공연 [고양], 제30회 국악대공연",(사) 한국국악협회 고양시지부,한국음악(국악),,http://www.kukakhyuphoe.or.kr/pages/info_01.php,AG011016
"판소리로 듣는 단원 김홍도 [안산], 제33회 단원전국국악경연대회, 제33회 단원전국국악경연대회",(사) 한국국악협회 안산지부,한국음악(국악),,,AG018634
